ax,ay,az,g1,g2,g3
-374,516,4099,1,-40,-40
-372,514,4100,2,-38,-37
-369,508,4092,2,-40,-34
-361,511,4093,3,-37,-37
-372,514,4093,1,-39,-39
-374,516,4099,1,-40,-40
-380,480,4068,1,-31,-39
-389,489,4069,-1,-33,-39
-390,503,4087,4,-30,-39
-332,497,4108,2,-41,-38
-330,526,4144,-4,-31,-33
-351,537,4152,-1,-20,-29
-332,473,4113,1,-31,-39
-332,473,4102,1,-38,-41
-330,487,4096,4,-35,-40
-323,432,4132,-1,-35,-32
-335,460,4121,1,-33,-38
-332,473,4113,1,-31,-39
-344,449,4100,-10,-33,1
-307,421,4109,-11,-39,-6
-300,411,4128,-8,-41,-20
-399,511,4112,-5,-36,-21
-403,521,4112,-8,-31,-11
-398,514,4110,-8,-32,-8
-362,457,4110,-1,-43,-36
-386,470,4108,-1,-41,-34
-399,511,4112,-5,-36,-21
-359,466,4112,-2,-44,-34
-363,467,4116,-1,-43,-36
-364,466,4108,0,-42,-36
-358,473,4102,0,-42,-37
-359,469,4104,0,-40,-35
-359,467,4107,0,-45,-37
-358,484,4110,-3,-44,-35
-356,476,4102,-2,-42,-36
-358,473,4102,0,-42,-37
-351,488,4108,0,-39,-35
-351,484,4107,0,-42,-35
-353,483,4107,0,-44,-35
-356,497,4100,-3,-43,-35
-358,498,4101,-1,-41,-36
-359,500,4102,-1,-40,-35
-359,508,4105,1,-40,-36
-359,504,4103,-1,-42,-36
-359,504,4100,1,-43,-36
-359,506,4102,0,-42,-36
-357,503,4102,0,-43,-37
-361,506,4102,0,-44,-38
-375,505,4089,0,-39,-39
-373,501,4093,-3,-43,-40
-372,501,4106,-3,-44,-40
-376,500,4093,-2,-40,-42
